name_en,description_en,example_en,category_en,tags_en,name_es,description_es,example_es,category_es,tags_es
"Comedy","A form of entertainment that uses humor to make people laugh.","She used comedy during her presentation to make complex information more engaging and memorable for the audience.","Interpersonal","amuse; entertain; joke; laugh; play; jest; delight; lighten; humor","Comedia","Una forma de entretenimiento que utiliza el humor para provocar risa.","Usó la comedia durante su presentación para hacer más accesible y memorable la información compleja.","Interpersonal","divertir; entretener; bromear; reír; jugar; improvisar; deleitar; aligerar; parodiar"
"Comfort","A state of physical and emotional ease that makes people feel relaxed and safe.","The counselor created an environment of comfort by arranging soft seating, speaking gently, and assuring confidentiality.","Personal","ease; relax; soothe; calm; console; reassure; support; nurture; provide","Confort","Un estado de bienestar físico y emocional que hace que las personas se sientan relajadas y seguras.","La consejera creó un entorno de confort al disponer asientos suaves, hablar con suavidad y garantizar la confidencialidad.","Personal","consolar; relajar; calmar; apaciguar; tranquilizar; abrigar; sostener; acompañar; cuidar"
"Commitment","Being dedicated to doing what you said you would do and supporting others in achieving their goals.","Despite numerous obstacles, she showed commitment to the literacy program by volunteering every week for five years, helping hundreds learn to read.","Personal","dedicate; devote; pledge; promise; engage; persist; adhere; follow through; remain","Compromiso","Mantenerse dedicado a lo que dijiste que harías y apoyar a otras personas para alcanzar sus metas.","A pesar de numerosos obstáculos, mostró compromiso con el programa de alfabetización al ofrecerse como voluntaria todas las semanas durante cinco años, ayudando a cientos a aprender a leer.","Personal","comprometerse; dedicar; entregarse; prometer; persistir; mantener; cumplir; apoyar; sostener"
"Communication","Sharing information clearly and respectfully with others to ensure understanding and connection.","The manager practiced effective communication by explaining project goals clearly, listening to team concerns, and providing regular updates on progress.","Interpersonal","express; convey; share; discuss; explain; clarify; listen; engage; connect","Comunicación","Compartir información con claridad y respeto para asegurar comprensión y conexión.","La gerente practicó una comunicación efectiva al explicar con claridad los objetivos del proyecto, escuchar las inquietudes del equipo y ofrecer actualizaciones regulares.","Interpersonal","expresar; transmitir; compartir; dialogar; explicar; aclarar; escuchar; intercambiar; conectar"
"Community","A group of people who share common interests, goals, or values and support each other.","After the natural disaster, the neighborhood demonstrated the power of community by organizing meals, sharing resources, and helping rebuild homes.","Social","connect; participate; contribute; belong; engage; support; share; unite; build","Comunidad","Un grupo de personas que comparten intereses, metas o valores y se apoyan mutuamente.","Tras el desastre natural, el vecindario demostró el poder de la comunidad al organizar comidas, compartir recursos y ayudar a reconstruir hogares.","Social","conectar; participar; contribuir; pertenecer; involucrarse; apoyar; compartir; unir; fortalecer"
"Compassion","Caring for others and wanting to help them when they are suffering or in need.","The volunteer showed compassion by sitting with homeless individuals, listening to their stories, and connecting them with resources while treating them with dignity.","Interpersonal","care; help; support; understand; listen; empathize; comfort; assist; nurture","Compasión","Cuidar de otras personas y querer ayudarlas cuando sufren o necesitan apoyo.","La voluntaria mostró compasión al sentarse con personas sin hogar, escuchar sus historias y conectarlas con recursos tratándolas siempre con dignidad.","Interpersonal","cuidar; ayudar; apoyar; entender; escuchar; empatizar; consolar; asistir; acompañar"
"Confidence","Believing in your own abilities and judgment to succeed in different situations.","After months of preparation, she approached the presentation with confidence, speaking clearly and responding thoughtfully to challenging questions.","Personal","believe; trust; rely; assert; assume; know; practice; demonstrate; show","Autoconfianza","Creer en tus propias capacidades y criterio para tener éxito en distintas situaciones.","Tras meses de preparación, afrontó la presentación con autoconfianza, habló con claridad y respondió a preguntas difíciles con reflexión.","Personal","creer; confiar; apoyarse; afirmar; asumir; saber; practicar; demostrar; mostrar"
"Connection","A strong bond between people that helps them understand and support each other.","Through weekly video calls over many years, the grandparents and grandchildren maintained a meaningful connection despite living thousands of miles apart.","Interpersonal","link; bond; relate; join; unite; associate; bridge; engage; integrate","Conexión","Un vínculo fuerte entre personas que les ayuda a comprenderse y apoyarse.","A través de videollamadas semanales durante años, abuelos y nietas mantuvieron una conexión significativa a pesar de vivir a miles de kilómetros.","Interpersonal","vincular; relacionar; unir; juntar; asociar; acercar; compartir; dialogar; integrar"
"Cooperation","Working together toward shared goals.","The international climate initiative succeeded through cooperation between countries that put aside differences to address shared environmental challenges.","Interpersonal","assist; aid; help; support; collaborate; coordinate; participate; contribute; share","Cooperación","Trabajar juntas hacia objetivos compartidos.","La iniciativa climática internacional tuvo éxito gracias a la cooperación entre países que dejaron de lado diferencias para abordar retos ambientales comunes.","Interpersonal","asistir; ayudar; cooperar; apoyar; colaborar; coordinar; participar; contribuir; compartir"
"Courage","The ability to face fear, difficulty, or uncertainty with bravery and determination.","She showed courage by standing up to workplace bullying, reporting the behavior even though it risked her position in the company.","Personal","challenge; face; overcome; confront; brave; boldly; stand; speak; defend","Coraje","La capacidad de enfrentar el miedo, la dificultad o la incertidumbre con valentía y determinación.","Mostró coraje al enfrentar el acoso laboral, denunciar la conducta aunque eso pusiera en riesgo su puesto.","Personal","desafiar; enfrentar; superar; afrontar; atreverse; defender; alzar; denunciar; persistir"
"Craftsmanship","Creating high-quality work with attention to detail and skill.","The furniture maker demonstrated craftsmanship by carefully selecting materials, using precise joinery techniques, and finishing each piece by hand.","Personal","create; build; make; design; craft; construct; fabricate; form; produce","Artesanía","Crear cosas con habilidad, dedicación y atención al detalle.","Su artesanía destacó en el mueble hecho a mano, donde cada unión fue pulida a la perfección tras horas de trabajo paciente.","Personal","crear; diseñar; tallar; pulir; fabricar; perfeccionar; detallar; dedicar; dominar"
"Creativity","Using imagination and original ideas to create something new or solve problems.","The teacher showed creativity by designing a classroom economy that made learning math concepts engaging through real-world applications.","Personal","invent; imagine; design; conceive; develop; innovate; originate; generate; craft","Creatividad","Generar ideas nuevas y originales para resolver problemas o expresarse.","El equipo usó su creatividad para rediseñar el servicio, incorporando sugerencias de clientes y soluciones inesperadas.","Personal","imaginar; inventar; crear; experimentar; innovar; combinar; explorar; diseñar; proponer"
"Curiosity","A strong desire to learn or know more about something.","The scientist's curiosity led her to question existing theories and design experiments that eventually resulted in a breakthrough discovery.","Personal","explore; investigate; question; wonder; examine; probe; inquire; discover; learn","Curiosidad","El deseo de aprender más y hacer preguntas sobre cómo funciona el mundo.","Su curiosidad la llevó a investigar la historia de su barrio, descubriendo relatos olvidados que compartió en un podcast comunitario.","Personal","preguntar; investigar; explorar; descubrir; indagar; examinar; aprender; observar; profundizar"
"Determination","Staying focused on your goals and not giving up, even when things get tough.","After being rejected by multiple publishers, the author's determination kept her revising and submitting her manuscript until it was finally accepted.","Personal","persist; resolve; decide; commit; pursue; overcome; endure; press on; continue","Determinación","Mantener el esfuerzo constante para alcanzar una meta, incluso frente a obstáculos.","La determinación de terminar el maratón la hizo entrenar antes del amanecer y seguir corriendo cuando el cansancio parecía vencerla.","Personal","persistir; insistir; perseverar; avanzar; resistir; enfocarse; cumplir; superar; mantenerse"
"Discipline","Staying focused and following rules to achieve goals and complete tasks.","The athlete's discipline was evident in her daily training routine, carefully monitored nutrition, and consistent sleep schedule.","Personal","practice; train; develop; maintain; adhere; follow; regulate; establish; control","Disciplina","Sostener hábitos y acciones ordenadas para cumplir compromisos y objetivos.","Con disciplina, dedicó tiempo diario a practicar el piano, incluso cuando prefería descansar, y logró dominar piezas complejas.","Personal","organizar; planificar; mantener; practicar; controlar; cumplir; regular; enfocarse; perseverar"
"Effectiveness","Being effective involves getting the desired results and making a positive impact through actions and decisions.","The new program demonstrated effectiveness by reaching more people with fewer resources while achieving better outcomes than previous initiatives.","Personal","achieve; accomplish; produce; deliver; execute; complete; fulfill; realize; attain","Efectividad","Lograr resultados deseados usando recursos de manera inteligente.","La campaña demostró efectividad al combinar mensajes claros y un seguimiento cuidadoso, alcanzando las metas en menos tiempo del esperado.","Personal","lograr; optimizar; simplificar; priorizar; medir; ajustar; coordinar; cumplir; mejorar"
"Empathy","Understanding and sharing the feelings of others to connect and support them better.","The manager showed empathy by adjusting deadlines and workloads when a team member shared they were going through a difficult family situation.","Interpersonal","understand; feel; connect; relate; share; sense; perceive; recognize; acknowledge","Empatía","Comprender y compartir los sentimientos de otras personas.","Demostró empatía al escuchar sin interrumpir a su compañera y reconocer cómo la decisión afectaba su bienestar.","Interpersonal","comprender; sentir; escuchar; acoger; ponerse en el lugar; acompañar; apoyar; reconocer; resonar"
"Equality","Fair treatment and equal opportunities for everyone, regardless of their differences.","The company promoted equality by implementing blind resume screening and standardized interview questions to reduce unconscious bias in hiring.","Social","balance; equalize; level; match; standardize; harmonize; align; treat; distribute","Igualdad","Tratar a todas las personas con el mismo valor y acceso a oportunidades.","La organización promovió la igualdad al revisar sus políticas salariales para eliminar brechas injustificadas.","Social","igualar; equilibrar; respetar; garantizar; incluir; proteger; defender; equiparar; valorar"
"Experiment","A value represents the importance or worth of something, guiding decisions and actions in life.","The teacher encouraged students to experiment with different approaches to problem-solving rather than focusing only on finding the right answer.","Personal","test; try; explore; attempt; investigate; examine; probe; analyze; verify","Experimentación","Probar ideas nuevas para aprender de los resultados.","Implementó experimentación en el aula al permitir que el alumnado diseñara pequeñas pruebas para comprobar sus hipótesis científicas.","Personal","probar; ensayar; evaluar; iterar; ajustar; explorar; aprender; medir; descubrir"
"Exploration","The act of searching for new places, ideas, or experiences to learn and discover.","The company dedicated time each week for employees to pursue exploration of topics outside their usual responsibilities, leading to innovative solutions.","Personal","discover; search; investigate; examine; survey; study; venture; journey; probe","Exploración","Investigar lo desconocido para descubrir información, lugares o experiencias.","Su exploración de los humedales locales reveló especies poco documentadas y motivó un plan de conservación.","Personal","explorar; recorrer; investigar; mapear; buscar; descubrir; analizar; aprender; documentar"
"Fairness","Treating everyone equally and justly, ensuring that all have the same opportunities and rights.","The referee demonstrated fairness by applying the rules consistently for both teams, regardless of the score or circumstances.","Social","balance; equalize; moderate; adjust; proportion; harmonize; judge; assess; treat","Equidad","Tratar a las personas con justicia, sin favoritismos ni prejuicios.","La jueza se esforzó por mantener la equidad al escuchar cada testimonio con atención y basar el fallo en los hechos.","Social","equilibrar; impartir; respetar; considerar; evaluar; compensar; garantizar; ponderar; proteger"
"Family","A group of people related by blood, marriage, or adoption who support and care for each other.","Despite living in different countries, they maintained strong family connections through weekly video calls, shared online photo albums, and annual reunions.","Interpersonal","nurture; support; care; connect; love; protect; provide; cherish; prioritize","Familia","La red de personas unidas por vínculos de afecto y cuidado mutuo.","Su familia se reunió cada domingo para cocinar juntas, compartir historias y apoyarse en los retos de la semana.","Interpersonal","cuidar; apoyar; reunir; acompañar; amar; compartir; nutrir; conectar; celebrar"
"Fine Art","Creative works that express beauty or emotions through visual forms like painting, sculpture, and drawing.","The community center's fine art program allowed residents to express themselves through painting, sculpture, and other visual media.","Personal","create; express; compose; craft; design; appreciate; study; display; interpret","Bellas Artes","Manifestaciones artísticas creadas para inspirar, conmover o expresar ideas profundas.","El museo exhibió bellas artes contemporáneas que invitaban a reflexionar sobre la justicia social.","Personal","crear; pintar; esculpir; componer; exponer; interpretar; inspirar; emocionar; apreciar"
"Flexibility","Being open to change and able to adapt to new circumstances or challenges.","When the outdoor event was threatened by rain, the coordinator showed flexibility by quickly creating a backup indoor plan that still met all objectives.","Personal","adapt; adjust; modify; accommodate; yield; bend; transform; pivot; shift","Flexibilidad","Adaptarse a cambios y ajustar los planes con facilidad.","Su flexibilidad permitió reconfigurar el proyecto cuando surgieron nuevas prioridades sin perder la dirección general.","Personal","adaptarse; ajustar; modificar; cambiar; transformar; acomodarse; pivotar; responder; reorganizar"
"Foresight","The ability to think ahead and plan for the future by considering possible outcomes and challenges.","The business leader showed foresight by investing in digital infrastructure years before the pandemic made remote work essential.","Personal","predict; anticipate; forecast; envision; project; plan; prepare; consider; foresee","Previsión","Anticipar necesidades futuras y prepararse para ellas.","Gracias a su previsión, la organización invirtió en herramientas digitales antes de la crisis y pudo seguir operando sin interrupciones.","Personal","anticipar; planear; prever; imaginar; proyectar; preparar; analizar; estimar; alertar"
"Forgiveness","Letting go of anger or resentment towards someone who has hurt you.","After a serious disagreement that threatened their friendship, she practiced forgiveness by having an honest conversation and choosing to move forward without holding a grudge.","Interpersonal","release; pardon; absolve; exonerate; excuse; free; reconcile; accept; heal","Perdón","Liberar el resentimiento hacia quienes causaron daño y abrir espacio para sanar.","Eligió el perdón cuando invitó a conversar a su amiga con quien había discutido, expresando cómo se sentía y acordando nuevas formas de cuidarse.","Interpersonal","perdonar; liberar; sanar; soltar; comprender; reconciliar; acoger; aceptar; reparar"
"Freedom","The power or right to act, speak, or think without hindrance or restraint.","The remote work policy gave employees freedom to choose their working hours and location, resulting in higher productivity and job satisfaction.","Personal","choose; determine; decide; express; move; act; think; speak; direct","Libertad","La capacidad de actuar y tomar decisiones sin restricciones injustas.","La campaña defendió la libertad de prensa al exigir leyes que protegieran a periodistas de represalias.","Personal","liberar; elegir; actuar; expresar; moverse; defender; proteger; garantizar; reclamar"
"Friendship","A strong bond between people that involves trust, support, and caring for each other.","Their friendship endured for decades through life's challenges, offering consistent support, honest feedback, and shared celebrations.","Interpersonal","connect; share; support; enjoy; confide; trust; listen; understand; appreciate","Amistad","Una relación de confianza, cariño y apoyo mutuo entre personas.","Su amistad se fortaleció al acompañarse en las buenas noticias y también en los momentos de duelo.","Interpersonal","acompañar; apoyar; compartir; escuchar; cuidar; celebrar; confiar; animar; valorar"
"Fun","Enjoyment and amusement that brings joy and entertainment to people's lives.","The teacher incorporated fun into math lessons through games and real-world challenges, helping students develop a love for the subject.","Personal","enjoy; play; laugh; amuse; delight; entertain; celebrate; revel; engage","Diversión","Disfrutar actividades que generan alegría y juego.","Organizaron una tarde de juegos cooperativos que llenó de diversión la sala y dejó al equipo con energía renovada.","Personal","disfrutar; jugar; reír; celebrar; explorar; bromear; relajarse; participar; animar"
"Grace","A kind of love and kindness that shows compassion and forgiveness to others, even when they don't deserve it.","When a new employee made a costly mistake, the manager responded with grace, focusing on learning opportunities rather than blame or punishment.","Interpersonal","move; act; respond; extend; offer; display; communicate; forgive; accept","Gracia","Actuar con elegancia, amabilidad y calma incluso en momentos difíciles.","Respondió con gracia a la crítica inesperada, agradeciendo los comentarios y buscando maneras de mejorar.","Interpersonal","agradecer; aceptar; responder; calmar; acomodar; sonreír; escuchar; apreciar; sostener"
"Gratitude","Appreciating and recognizing the good things in life and the people who contribute to our happiness.","She practiced gratitude by keeping a daily journal noting three things she was thankful for, gradually shifting her focus to life's positive aspects.","Personal","appreciate; thank; recognize; acknowledge; value; treasure; express; show; demonstrate","Gratitud","Reconocer y agradecer lo que se recibe de la vida y de otras personas.","Cultivó gratitud al escribir cada noche tres cosas pequeñas que la hicieron sonreír durante el día.","Personal","agradecer; reconocer; valorar; apreciar; celebrar; recordar; honrar; compartir; expresar"
"Growth","The process of improving skills, knowledge, or size over time.","The company focused on employee growth by providing mentoring, educational opportunities, and gradually increasing responsibilities.","Personal","develop; learn; improve; advance; expand; progress; evolve; strengthen; mature","Crecimiento","Desarrollar habilidades, perspectivas y capacidades a lo largo del tiempo.","Su crecimiento profesional se vio en cómo asumió nuevos retos y pidió retroalimentación constante.","Personal","crecer; aprender; mejorar; expandir; desarrollar; evolucionar; progresar; superar; reforzar"
"Happiness","A state of well-being and joy that comes from positive experiences and feelings.","Rather than pursuing material possessions, she found happiness through meaningful relationships, purposeful work, and regular time in nature.","Personal","enjoy; appreciate; celebrate; delight; savor; cherish; experience; relish; embrace","Felicidad","Un estado de bienestar y alegría sostenidos por experiencias significativas.","Encontró felicidad al dedicar tiempo semanal al voluntariado con niñas y niños, lo que le recordaba su propósito.","Personal","sonreír; disfrutar; celebrar; agradecer; compartir; apreciar; valorar; vivir; brillar"
